epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2711.89,0.82732,0.66311,1.27106,0.8915,0.78648,0.89991,0.66311,0.82032,0.53548,1.33495,0.0070795,0.0070795,0.0070795
120,2734.53,0.82731,0.65947,1.27405,0.87489,0.80997,0.90613,0.66903,0.81981,0.53463,1.33314,0.00705475,0.00705475,0.00705475
121,2757.21,0.83348,0.65937,1.26997,0.85947,0.82785,0.90689,0.67006,0.81612,0.53457,1.32909,0.00703,0.00703,0.00703
122,2779.87,0.82796,0.65386,1.26935,0.84702,0.83686,0.90508,0.67101,0.81028,0.53374,1.325,0.00700525,0.00700525,0.00700525
123,2802.53,0.83326,0.65731,1.27692,0.85697,0.84384,0.9077,0.67456,0.81147,0.53394,1.32577,0.0069805,0.0069805,0.0069805
124,2825.17,0.82513,0.65563,1.2705,0.8503,0.84266,0.90963,0.67435,0.81382,0.53242,1.32785,0.00695575,0.00695575,0.00695575
125,2847.84,0.8158,0.64376,1.26226,0.84398,0.835,0.90861,0.67582,0.8103,0.53064,1.32406,0.006931,0.006931,0.006931
126,2870.48,0.81572,0.64701,1.26675,0.84503,0.84873,0.90953,0.67993,0.80827,0.52524,1.32135,0.00690625,0.00690625,0.00690625
127,2893.15,0.81672,0.63922,1.26508,0.88397,0.8167,0.90959,0.6768,0.80553,0.52111,1.31808,0.0068815,0.0068815,0.0068815
128,2915.77,0.82072,0.63975,1.26572,0.87518,0.83399,0.91231,0.67712,0.80495,0.51813,1.31793,0.00685675,0.00685675,0.00685675
129,2938.48,0.80956,0.64643,1.25713,0.87437,0.83567,0.91175,0.68304,0.8022,0.51747,1.31287,0.006832,0.006832,0.006832
130,2961.15,0.81259,0.63842,1.25905,0.86161,0.85132,0.91388,0.68444,0.80272,0.51633,1.31418,0.00680725,0.00680725,0.00680725
131,2983.86,0.80179,0.62969,1.25507,0.86039,0.84889,0.91676,0.68644,0.80158,0.51058,1.315,0.0067825,0.0067825,0.0067825
132,3006.46,0.80819,0.63162,1.25159,0.87917,0.83485,0.91666,0.68481,0.7999,0.50817,1.31259,0.00675775,0.00675775,0.00675775
133,3029.06,0.80228,0.634,1.24891,0.89014,0.84344,0.91702,0.68787,0.79783,0.50614,1.31209,0.006733,0.006733,0.006733
134,3051.65,0.80598,0.63938,1.25943,0.8922,0.83814,0.92019,0.68792,0.79471,0.5029,1.31054,0.00670825,0.00670825,0.00670825
